fold,tau,beta,f1,iou
0,0.75,8.0,0.2753188392364943,0.15963463015657478
1,1.0,8.0,0.2931407617448883,0.17174278650216068
2,1.0,8.0,0.3128114529700864,0.18540396894037256
3,0.75,16.0,0.3006658114290852,0.17693153792305882
4,0.75,8.0,0.2684028937380214,0.1550030851676729
