fold,thr,f1,iou
0,0.15000000000000002,0.24370999353879055,0.1387640951336093
1,0.4,0.3019502658987228,0.17782180335167586
2,0.2,0.13527505184374172,0.07254423875086488
3,0.4,0.3897671423682062,0.2420563836595942
4,0.25,0.1655683204031163,0.09025592080894501
