method,f1,iou,chance_f1,tau,beta,n_images
rung 1 (ELA),0.127800,0.068262,0.123200,0.75,8.0,3284
rung 2 (ELA+MRF),0.139097,0.074747,0.123200,0.75,8.0,3284
