test_fold,val_fold,thr,f1,iou,stopped_at,best_val,first_nan_epoch,norm,weight_decay,clip
0,1,0.35,0.347715,0.210445,15,1.265586,,sum,0.0001,1.0
0,2,0.1,0.391121,0.243102,21,1.186996,,sum,0.0001,1.0
0,3,0.4,0.465851,0.303655,32,1.166901,,sum,0.0001,1.0
0,4,0.2,0.358365,0.218298,27,1.242189,,sum,0.0001,1.0
1,0,0.2,0.338759,0.203919,16,1.250423,,sum,0.0001,1.0
1,2,0.2,0.369827,0.226864,22,1.176493,,sum,0.0001,1.0
1,3,0.25,0.371938,0.228455,19,1.216722,,sum,0.0001,1.0
1,4,0.2,0.360908,0.220188,13,1.211723,,sum,0.0001,1.0
2,0,0.4,0.413947,0.260992,28,1.203000,,sum,0.0001,1.0
2,1,0.05,0.463909,0.302006,42,1.166721,,sum,0.0001,1.0
2,3,0.25,0.397171,0.247793,22,1.202414,,sum,0.0001,1.0
2,4,0.35,0.356696,0.217061,24,1.219700,,sum,0.0001,1.0
3,0,0.35,0.457633,0.296709,31,1.184030,,sum,0.0001,1.0
3,1,0.45,0.476899,0.313111,47,1.113305,,sum,0.0001,1.0
3,2,0.3,0.381949,0.236055,23,1.225106,,sum,0.0001,1.0
3,4,0.3,0.384162,0.237748,23,1.209469,,sum,0.0001,1.0
4,0,0.3,0.423070,0.268288,35,1.156644,,sum,0.0001,1.0
4,1,0.15,0.359110,0.218851,14,1.210048,,sum,0.0001,1.0
4,2,0.15,0.394168,0.245460,19,1.209158,,sum,0.0001,1.0
4,3,0.25,0.365084,0.223304,17,1.198127,,sum,0.0001,1.0
