test_fold,val_fold,thr,f1,iou,stopped_at,best_val,first_nan_epoch,norm,weight_decay,clip
0,1,0.2,0.673215,0.507404,63,0.762277,,sum,0.0001,1.0
0,2,0.25,0.672360,0.506433,53,0.769814,,sum,0.0001,1.0
0,3,0.45,0.625785,0.455376,36,0.863877,,sum,0.0001,1.0
0,4,0.1,0.627994,0.457720,47,0.782813,,sum,0.0001,1.0
1,0,0.15,0.633893,0.464014,44,0.807160,,sum,0.0001,1.0
1,2,0.25,0.643224,0.474082,47,0.821013,,sum,0.0001,1.0
1,3,0.2,0.632084,0.462078,45,0.835379,,sum,0.0001,1.0
1,4,0.35,0.656374,0.488509,46,0.834375,,sum,0.0001,1.0
2,0,0.5,0.531630,0.362055,25,1.009316,,sum,0.0001,1.0
2,1,0.2,0.591415,0.419864,58,0.783914,,sum,0.0001,1.0
2,3,0.25,0.637452,0.467839,59,0.806487,,sum,0.0001,1.0
2,4,0.2,0.573432,0.401966,41,0.868402,,sum,0.0001,1.0
3,0,0.15,0.668914,0.502533,68,0.815629,,sum,0.0001,1.0
3,1,0.3,0.607188,0.435944,34,0.825233,,sum,0.0001,1.0
3,2,0.25,0.675805,0.510352,73,0.728733,,sum,0.0001,1.0
3,4,0.5,0.654220,0.486127,45,0.779443,,sum,0.0001,1.0
4,0,0.7,0.620888,0.450209,36,0.821656,,sum,0.0001,1.0
4,1,0.2,0.638822,0.469315,45,0.774490,,sum,0.0001,1.0
4,2,0.25,0.593008,0.421472,41,0.829602,,sum,0.0001,1.0
4,3,0.5,0.610920,0.439802,32,0.820236,,sum,0.0001,1.0
