test_fold,val_fold,thr,f1,iou,stopped_at,best_val,first_nan_epoch,norm,weight_decay,clip
0,1,0.45,0.643648,0.474544,45,0.714837,,sum,0.0001,1.0
0,2,0.45,0.696081,0.533838,64,0.659664,,sum,0.0001,1.0
0,3,0.5,0.714739,0.556105,63,0.672444,,sum,0.0001,1.0
0,4,0.55,0.715742,0.557319,66,0.733589,,sum,0.0001,1.0
1,0,0.15,0.699486,0.537853,37,0.701503,,sum,0.0001,1.0
1,2,0.35,0.741216,0.588835,55,0.684199,,sum,0.0001,1.0
1,3,0.45,0.671874,0.505881,29,0.726676,,sum,0.0001,1.0
1,4,0.4,0.751458,0.601868,66,0.676806,,sum,0.0001,1.0
2,0,0.55,0.711341,0.552001,63,0.730485,,sum,0.0001,1.0
2,1,0.05,0.669735,0.503460,49,0.613651,,sum,0.0001,1.0
2,3,0.75,0.687301,0.523579,51,0.721548,,sum,0.0001,1.0
2,4,0.4,0.716479,0.558214,60,0.664239,,sum,0.0001,1.0
3,0,0.25,0.680813,0.516085,36,0.722050,,sum,0.0001,1.0
3,1,0.4,0.696026,0.533773,46,0.619847,,sum,0.0001,1.0
3,2,0.5,0.712430,0.553314,62,0.589085,,sum,0.0001,1.0
3,4,0.3,0.668191,0.501717,39,0.672997,,sum,0.0001,1.0
4,0,0.1,0.619399,0.448644,40,0.776065,,sum,0.0001,1.0
4,1,0.2,0.755189,0.606669,71,0.588476,,sum,0.0001,1.0
4,2,0.15,0.712611,0.553532,67,0.668120,,sum,0.0001,1.0
4,3,0.15,0.670988,0.504878,36,0.707406,,sum,0.0001,1.0
